Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Gani, Md Osman; Fayezeen, Taskina; Povinelli, Richard J; Smith, Roger O; Arif, Muhammad; Kattan, Ahmed J; Ahamed, Sheikh Iqbal; ",A light weight smartphone based human activity recognition system with high accuracy,Journal of Network and Computer Applications,141,,59-72,2019,Academic Press
"Silwal, Shrawani; Gani, Md Osman; Raychoudhury, Vaskar; ",A survey of taxi ride sharing system architectures,2019 IEEE International Conference on Smart Computing (SMARTCOMP),,,144-149,2019,IEEE
"Nguyen, Manh; Gani, Md Osman; Raychoudhury, Vaskar; ",Yours truly? Survey on accessibility of our personal data in the connected world,2019 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops),,,292-297,2019,IEEE
"Johnson, N; Bree, O; Lalley, E; Rettler, K; Grande, P; Gani, Md; Ahamed, S; ",Effect of an iPad application for medical imaging procedure preparation for children with autism spectrum disorder,Journal of Pediatric Nursing,29,6,651-659,2014,
"Gani, Md Osman; Raychoudhury, Vaskar; Edinger, Janick; Mokrenko, Valeria; Cao, Zheng; Zhang, Ce; ",Smart surface classification for accessible routing through built environment: A crowd-sourced approach,"Proceedings of the 6th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",,,11-20,2019,
"Jarvis, Nicholas; Hata, John; Wayne, Nicholas; Raychoudhury, Vaskar; Gani, Md Osman; ",Miamimapper: Crowd analysis using active and passive indoor localization through wi-fi probe monitoring,Proceedings of the 15th ACM International Symposium on QoS and Security for Wireless and Mobile Networks,,,1-10,2019,
"Saha, Amit Kumar; Ahsan, GM Tanimul; Gani, Md Osman; Ahamed, Sheikh Iqbal; ",Personalized Pain Study Platform using Evidence-Based Continuous Learning Tool,2019 IEEE 43rd Annual Computer Software and Applications Conference (COMPSAC),2,,490-495,2019,IEEE
"FarzanaRahman, Md Osman Gani; ","GolamMushihTanimulAhsan and Sheikh IqbalAhamed"" Seeing beyond visibility: A Four Way Fusion of User Authentication for Efficient Usable Security on Mobile Devices",2014 Eighth International Conference on Software Security and Reliability,,,,,
"Hata, John; Gani, Osman; Raychoudhury, Vaskar; ",CARE: Campus-wide Accessible Route Estimation through Surface Analysis,Proceedings of the 20th International Workshop on Mobile Computing Systems and Applications,,,173-173,2019,
"Bikak, Marvi; Kethireddy, Shravan; Gani, Md Osman; Adibuzzaman, Mohammad; ",STRUCTURAL CAUSAL MODEL WITH EXPERT AUGMENTED KNOWLEDGE TO ESTIMATE THE EFFECT OF OXYGEN THERAPY,CHEST,158,4,A636,2020,Elsevier
"Gani, Md Osman; Kethireddy, Shravan; Adib, Riddhiman; Hasan, Uzma; Griffin, Paul; Adibuzzaman, Mohammad; ",Structural causal model with expert augmented knowledge to estimate the effect of oxygen therapy on mortality in the ICU,Artificial Intelligence in Medicine,137,,102493,2023,Elsevier
"Silwal, Shrawani; Raychoudhury, Vaskar; Saha, Snehanshu; Gani, Md Osman; ",A Dynamic Taxi Ride Sharing System Using Particle Swarm Optimization,IEEE 17th International Conference on Mobile Ad Hoc and Sensor Systems (MASS),,,112-120,2020,doi: 10.1109/MASS50613.2020.00024
"Mokrenko, Valeria; Yu, Haoxiang; Raychoudhury, Vaskar; Edinger, Janick; Smith, Roger O; Gani, Md Osman; ",A Transfer Learning Approach to Surface Detection for Accessible Routing for Wheelchair Users,"2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC)",,,794-803,2021,IEEE
"Adib, Riddhiman; Gani, Md Osman; Ahamed, Sheikh Iqbal; Adibuzzaman, Mohammad; ",Causal Discovery on the Effect of Antipsychotic Drugs on Delirium Patients in the ICU using Large EHR Dataset,arXiv preprint arXiv:2205.01057,,,,2022,
"Adib, Riddhiman; Naved, Md Mobasshir Arshed; Fang, Chih-Hao; Gani, Md Osman; Grama, Ananth; Griffin, Paul; Ahamed, Sheikh Iqbal; Adibuzzaman, Mohammad; ",CKH: Causal Knowledge Hierarchy for Estimating Structural Causal Models from Data and Priors,arXiv preprint arXiv:2204.13775,,,,2022,
"Yu, Haoxiang; Raychoudhury, Vaskar; Saha, Snehanshu; Edinger, Janick; Smith, Roger O; Gani, Md Osman; ",Automated Surface Classification System using Vibration Patterns-A Case Study with Wheelchairs,IEEE Transactions on Artificial Intelligence,,,,2022,IEEE
"Hasan, Uzma; Gani, Md Osman; ",KCRL: A Prior Knowledge Based Causal Discovery Framework With Reinforcement Learning,Proceedings of Machine Learning Research,182,2022,1-24,2022,
"Saha, Shaswati; Selingo, Lauren; Olejniczak, Emily; Noyce, Hanna; Raychoudhury, Vaskar; Smith, Roger O; Gani, Md Osman; ",MyPath: Accessible Routing for Wheelchair Users,UMBC Student Collection,,,,2023,
"Saha, Shaswati; Selingo, Lauren; Olejniczak, Emily; Noyce, Hanna; Raychoudhury, Vaskar; Smith, Roger O; Gani, Md Osman; ",RESNA Annual Conference-2022,,,,,,
"Ferdous, Muhammad Hasan; Hasan, Uzma; Gani, Md Osman; ",CDANs: Temporal Causal Discovery from Autocorrelated and Non-Stationary Time Series Data,arXiv preprint arXiv:2302.03246,,,,2023,
"Saha, Sourajit; Saha, Shaswati; Gani, Md Osman; Oates, Tim; Chapman, David; ",RFC-Net: Learning High Resolution Global Features for Medical Image Segmentation on a Computational Budget,arXiv preprint arXiv:2302.06134,,,,2023,
"Ferdous, Muhammad Hasan; Hasan, Uzma; Gani, Md Osman; ",eCDANs: Efficient Temporal Causal Discovery from Autocorrelated and Non-stationary Data (Student Abstract),arXiv preprint arXiv:2303.02833,,,,2023,
